edge_type_id target_query source_query target_sections delay distance_range dynamics_params model_template syn_weight
100 ei=='e' ei=='e' "['basal', 'apical']" 2.0 "[30.0, 150.0]" AMPA_ExcToExc.json Exp2Syn 6e-05
101 ei=='i' ei=='e' "['somatic', 'basal']" 2.0 "[0.0, 1e+20]" AMPA_ExcToInh.json Exp2Syn 0.0006
102 ei=='e' ei=='i' "['somatic', 'basal', 'apical']" 2.0 "[0.0, 50.0]" GABA_InhToExc.json Exp2Syn 0.002
103 ei=='i' ei=='i' "['somatic', 'basal']" 2.0 "[0.0, 1e+20]" GABA_InhToInh.json Exp2Syn 0.00015
