edge_type_id target_query source_query syn_weight delay model_template dynamics_params distance_range target_sections
100 ei_type=='e' ei_type=='e' 2e-05 2.0 Exp2Syn AMPA_ExcToExc.json "[30.0, 150.0]" "['somatic', 'basal', 'apical']"
101 ei_type=='i' ei_type=='e' 0.015 2.0 Exp2Syn AMPA_ExcToInh.json "[30.0, 150.0]" "['somatic', 'basal']"
102 ei_type=='e' ei_type=='i' 0.085 2.0 Exp2Syn GABA_InhToExc.json "[0.0, 50.0]" "['somatic', 'basal', 'apical']"
103 ei_type=='i' ei_type=='i' 0.085 2.0 Exp2Syn GABA_InhToInh.json "[0.0, 1e+20]" "['somatic', 'basal']"
