node_type_id model_name model_template morphology model_processing dynamics_params model_type rotation_angle_xaxis ei_type
100 Scnn1a ctdb:Biophys1.hoc Scnn1a_485510712_morphology.swc aibs_perisomatic Scnn1a_485510712_params.json biophysical 0 e
101 Rorb ctdb:Biophys1.hoc Rorb_486509958_morphology.swc aibs_perisomatic Rorb_486509958_params.json biophysical 0 e
102 Nr5a1 ctdb:Biophys1.hoc Nr5a1_485507735_morphology.swc aibs_perisomatic Nr5a1_485507735_params.json biophysical 0 e
103 PValb ctdb:Biophys1.hoc Pvalb_473862421_morphology.swc aibs_perisomatic Pvalb_473862421_params.json biophysical 0 i
