edge_type_id target_query source_query model_template delay target_sections dynamics_params distance_range syn_weight
100 ei=='e' ei=='e' Exp2Syn 2.0 "['basal', 'apical']" AMPA_ExcToExc.json "[30.0, 150.0]" 6e-05
101 ei=='i' ei=='e' Exp2Syn 2.0 "['somatic', 'basal']" AMPA_ExcToInh.json "[0.0, 1e+20]" 0.0006
102 ei=='e' ei=='i' Exp2Syn 2.0 "['somatic', 'basal', 'apical']" GABA_InhToExc.json "[0.0, 50.0]" 0.002
103 ei=='i' ei=='i' Exp2Syn 2.0 "['somatic', 'basal']" GABA_InhToInh.json "[0.0, 1e+20]" 0.00015
