node_type_id model_processing model_type morphology dynamics_params ei model_template model_name
100 aibs_perisomatic biophysical Scnn1a_473845048_m.swc 472363762_fit.json e ctdb:Biophys1.hoc Scnn1a
101 aibs_perisomatic biophysical Rorb_325404214_m.swc 473863510_fit.json e ctdb:Biophys1.hoc Rorb
102 aibs_perisomatic biophysical Nr5a1_471087815_m.swc 473863035_fit.json e ctdb:Biophys1.hoc Nr5a1
103 aibs_perisomatic biophysical Pvalb_470522102_m.swc 472912177_fit.json i ctdb:Biophys1.hoc PV1
104 aibs_perisomatic biophysical Pvalb_469628681_m.swc 473862421_fit.json i ctdb:Biophys1.hoc PV2
