timestamps population node_ids
22.500000000100183 cortcol 0
1047.1999999996954 cortcol 31
1074.99999999967 cortcol 31
1107.7999999996402 cortcol 31
1147.0999999996045 cortcol 31
1188.5999999995668 cortcol 31
1221.0999999995372 cortcol 31
1247.8999999995128 cortcol 31
1023.7999999997166 cortcol 31
1338.1999999994307 cortcol 31
1400.8999999993737 cortcol 31
1445.8999999993327 cortcol 31
1476.399999999305 cortcol 31
1022.399999999718 cortcol 32
1046.8999999996956 cortcol 32
1073.899999999671 cortcol 32
1107.0999999996409 cortcol 32
1369.799999999402 cortcol 31
1476.399999999305 cortcol 30
1446.0999999993326 cortcol 30
1400.7999999993738 cortcol 30
1220.9999999995373 cortcol 29
1247.8999999995128 cortcol 29
1338.0999999994308 cortcol 29
1369.599999999402 cortcol 29
1400.7999999993738 cortcol 29
1445.8999999993327 cortcol 29
1476.299999999305 cortcol 29
1023.6999999997169 cortcol 30
1047.499999999695 cortcol 30
1074.8999999996702 cortcol 30
1107.7999999996402 cortcol 30
1146.9999999996046 cortcol 30
1188.4999999995669 cortcol 30
1220.9999999995373 cortcol 30
1247.8999999995128 cortcol 30
1338.0999999994308 cortcol 30
1369.699999999402 cortcol 30
1146.199999999605 cortcol 32
1187.399999999568 cortcol 32
1219.4999999995389 cortcol 32
1336.899999999432 cortcol 32
1399.799999999375 cortcol 34
1442.9999999993354 cortcol 34
1475.399999999306 cortcol 34
1022.5999999997176 cortcol 35
1046.9999999996955 cortcol 35
1074.099999999671 cortcol 35
1106.899999999641 cortcol 35
1146.3999999996051 cortcol 35
1187.099999999568 cortcol 35
1219.8999999995383 cortcol 35
1246.3999999995142 cortcol 35
1336.9999999994318 cortcol 35
1399.5999999993749 cortcol 35
1475.199999999306 cortcol 35
1022.5999999997176 cortcol 36
1046.9999999996955 cortcol 36
1073.999999999671 cortcol 36
1336.5999999994322 cortcol 34
1188.4999999995669 cortcol 29
1246.3999999995142 cortcol 34
1187.7999999995675 cortcol 34
1399.8999999993746 cortcol 32
1476.1999999993052 cortcol 32
1022.4999999997178 cortcol 33
1045.499999999697 cortcol 33
1073.3999999996715 cortcol 33
1106.999999999641 cortcol 33
1145.7999999996057 cortcol 33
1187.6999999995676 cortcol 33
1219.9999999995382 cortcol 33
1336.9999999994318 cortcol 33
1399.5999999993749 cortcol 33
1475.8999999993057 cortcol 33
1022.4999999997178 cortcol 34
1046.7999999996955 cortcol 34
1074.3999999996706 cortcol 34
1106.999999999641 cortcol 34
1145.9999999996055 cortcol 34
1220.4999999995375 cortcol 34
1106.3999999996415 cortcol 36
1146.9999999996046 cortcol 29
1074.7999999996705 cortcol 29
1369.599999999402 cortcol 24
1400.8999999993737 cortcol 24
1445.9999999993329 cortcol 24
1476.299999999305 cortcol 24
1023.6999999997169 cortcol 25
1047.1999999996954 cortcol 25
1074.8999999996702 cortcol 25
1338.0999999994308 cortcol 24
1107.7999999996402 cortcol 25
1188.4999999995669 cortcol 25
1220.9999999995373 cortcol 25
1247.9999999995127 cortcol 25
1338.0999999994308 cortcol 25
1369.899999999402 cortcol 25
1400.7999999993738 cortcol 25
1446.4999999993322 cortcol 25
1146.9999999996046 cortcol 25
1247.8999999995128 cortcol 24
1221.0999999995372 cortcol 24
1188.5999999995668 cortcol 24
1047.3999999996952 cortcol 23
1074.8999999996702 cortcol 23
1107.7999999996402 cortcol 23
1146.9999999996046 cortcol 23
1188.5999999995668 cortcol 23
1221.0999999995372 cortcol 23
1247.9999999995127 cortcol 23
1338.0999999994308 cortcol 23
1369.899999999402 cortcol 23
1400.7999999993738 cortcol 23
1445.9999999993329 cortcol 23
1476.299999999305 cortcol 23
1023.6999999997169 cortcol 24
1047.2999999996953 cortcol 24
1074.99999999967 cortcol 24
1107.6999999996403 cortcol 24
1146.9999999996046 cortcol 24
1476.299999999305 cortcol 25
1023.6999999997169 cortcol 26
1047.0999999996957 cortcol 26
1074.7999999996705 cortcol 26
1446.2999999993324 cortcol 27
1476.399999999305 cortcol 27
1023.6999999997169 cortcol 28
1047.2999999996953 cortcol 28
1074.8999999996702 cortcol 28
1107.6999999996403 cortcol 28
1146.9999999996046 cortcol 28
1188.4999999995669 cortcol 28
1220.9999999995373 cortcol 28
1247.799999999513 cortcol 28
1337.9999999994309 cortcol 28
1369.4999999994022 cortcol 28
1400.7999999993738 cortcol 28
1445.7999999993328 cortcol 28
1476.299999999305 cortcol 28
1023.6999999997169 cortcol 29
1047.499999999695 cortcol 29
1400.7999999993738 cortcol 27
1107.7999999996402 cortcol 29
1369.799999999402 cortcol 27
1248.0999999995126 cortcol 27
1107.6999999996403 cortcol 26
1146.9999999996046 cortcol 26
1188.4999999995669 cortcol 26
1220.9999999995373 cortcol 26
1247.8999999995128 cortcol 26
1338.0999999994308 cortcol 26
1369.799999999402 cortcol 26
1400.7999999993738 cortcol 26
1445.8999999993327 cortcol 26
1476.299999999305 cortcol 26
1023.6999999997169 cortcol 27
1047.1999999996954 cortcol 27
1074.8999999996702 cortcol 27
1107.7999999996402 cortcol 27
1146.9999999996046 cortcol 27
1188.4999999995669 cortcol 27
1221.0999999995372 cortcol 27
1338.0999999994308 cortcol 27
1023.6999999997169 cortcol 23
1145.6999999996058 cortcol 36
1219.8999999995383 cortcol 36
1107.1999999996408 cortcol 46
1145.6999999996058 cortcol 46
1187.6999999995676 cortcol 46
1220.099999999538 cortcol 46
1337.0999999994317 cortcol 46
1399.5999999993749 cortcol 46
1474.8999999993064 cortcol 46
1073.899999999671 cortcol 46
1022.399999999718 cortcol 47
1073.6999999996713 cortcol 47
1106.7999999996412 cortcol 47
1146.0999999996054 cortcol 47
1187.299999999568 cortcol 47
1219.8999999995383 cortcol 47
1337.1999999994316 cortcol 47
1399.6999999993748 cortcol 47
1046.9999999996955 cortcol 47
1046.9999999996955 cortcol 46
1022.4999999997178 cortcol 46
1474.6999999993066 cortcol 45
1145.9999999996055 cortcol 44
1187.7999999995675 cortcol 44
1220.6999999995376 cortcol 44
1246.3999999995142 cortcol 44
1336.899999999432 cortcol 44
1368.0999999994035 cortcol 44
1399.799999999375 cortcol 44
1475.199999999306 cortcol 44
1022.399999999718 cortcol 45
1046.8999999996956 cortcol 45
1073.2999999996716 cortcol 45
1107.0999999996409 cortcol 45
1145.9999999996055 cortcol 45
1187.399999999568 cortcol 45
1219.5999999995386 cortcol 45
1336.799999999432 cortcol 45
1399.5999999993749 cortcol 45
1476.0999999993053 cortcol 47
1022.4999999997178 cortcol 48
1046.9999999996955 cortcol 48
1074.2999999996707 cortcol 48
1107.0999999996409 cortcol 50
1146.6999999996049 cortcol 50
1187.4999999995678 cortcol 50
1220.099999999538 cortcol 50
1246.499999999514 cortcol 50
1336.9999999994318 cortcol 50
1399.8999999993746 cortcol 50
1474.8999999993064 cortcol 50
1022.4999999997178 cortcol 51
1046.8999999996956 cortcol 51
1073.3999999996715 cortcol 51
1106.6999999996412 cortcol 51
1145.6999999996058 cortcol 51
1187.099999999568 cortcol 51
1219.7999999995384 cortcol 51
1336.799999999432 cortcol 51
1399.799999999375 cortcol 51
1074.1999999996708 cortcol 50
1106.899999999641 cortcol 44
1046.9999999996955 cortcol 50
1475.5999999993055 cortcol 49
1107.1999999996408 cortcol 48
1145.9999999996055 cortcol 48
1187.399999999568 cortcol 48
1220.3999999995378 cortcol 48
1336.9999999994318 cortcol 48
1367.8999999994037 cortcol 48
1399.5999999993749 cortcol 48
1475.399999999306 cortcol 48
1022.4999999997178 cortcol 49
1046.9999999996955 cortcol 49
1073.999999999671 cortcol 49
1106.4999999996414 cortcol 49
1145.6999999996058 cortcol 49
1187.099999999568 cortcol 49
1219.8999999995383 cortcol 49
1336.5999999994322 cortcol 49
1399.6999999993748 cortcol 49
1022.5999999997176 cortcol 50
1187.5999999995677 cortcol 36
1074.1999999996708 cortcol 44
1022.6999999997176 cortcol 44
1336.799999999432 cortcol 38
1399.5999999993749 cortcol 38
1475.299999999306 cortcol 38
1022.5999999997176 cortcol 39
1047.1999999996954 cortcol 39
1074.4999999996703 cortcol 39
1107.1999999996408 cortcol 39
1220.5999999995377 cortcol 38
1146.6999999996049 cortcol 39
1220.3999999995378 cortcol 39
1337.1999999994316 cortcol 39
1367.9999999994036 cortcol 39
1399.8999999993746 cortcol 39
1444.499999999334 cortcol 39
1475.9999999993054 cortcol 39
1022.399999999718 cortcol 40
1187.399999999568 cortcol 39
1187.299999999568 cortcol 38
1145.6999999996058 cortcol 38
1105.999999999642 cortcol 38
1246.499999999514 cortcol 36
1336.899999999432 cortcol 36
1399.499999999375 cortcol 36
1475.8999999993057 cortcol 36
1022.4999999997178 cortcol 37
1045.499999999697 cortcol 37
1073.5999999996714 cortcol 37
1106.0999999996418 cortcol 37
1145.6999999996058 cortcol 37
1187.299999999568 cortcol 37
1219.7999999995384 cortcol 37
1337.0999999994317 cortcol 37
1399.6999999993748 cortcol 37
1475.199999999306 cortcol 37
1022.4999999997178 cortcol 38
1046.8999999996956 cortcol 38
1073.999999999671 cortcol 38
1046.8999999996956 cortcol 40
1074.2999999996707 cortcol 40
1106.2999999996416 cortcol 40
1146.499999999605 cortcol 40
1219.7999999995384 cortcol 42
1246.499999999514 cortcol 42
1336.9999999994318 cortcol 42
1367.9999999994036 cortcol 42
1399.499999999375 cortcol 42
1444.1999999993343 cortcol 42
1475.399999999306 cortcol 42
1022.5999999997176 cortcol 43
1045.1999999996972 cortcol 43
1073.999999999671 cortcol 43
1106.4999999996414 cortcol 43
1145.599999999606 cortcol 43
1187.7999999995675 cortcol 43
1219.7999999995384 cortcol 43
1336.9999999994318 cortcol 43
1399.799999999375 cortcol 43
1475.0999999993062 cortcol 43
1186.9999999995682 cortcol 42
1046.8999999996956 cortcol 44
1145.7999999996057 cortcol 42
1073.3999999996715 cortcol 42
1187.4999999995678 cortcol 40
1219.9999999995382 cortcol 40
1336.699999999432 cortcol 40
1399.6999999993748 cortcol 40
