edge_type_id target_query source_query dynamics_params syn_weight delay weight_sigma weight_function model_template
100 cell_line=='i4Sst' cell_line=='i4Sst' i2i.json -0.5497964249580001 1.5 50.0 DirectionRule_others static_synapse
101 cell_line=='e4Rorb' cell_line=='i4Sst' i2e.json -0.2589445203 1.5 90 DirectionRule_others static_synapse
102 cell_line=='e4Scnn1a' cell_line=='i4Sst' i2e.json -0.68765067873 1.5 90 DirectionRule_others static_synapse
103 cell_line=='i4Htr3a' cell_line=='i4Sst' i2i.json -0.578256186357 1.5 50.0 DirectionRule_others static_synapse
104 cell_line=='e4other' cell_line=='i4Sst' i2e.json -0.273482781802 1.5 90 DirectionRule_others static_synapse
105 cell_line=='i4Pvalb' cell_line=='i4Sst' i2i.json -1.12014598694 1.5 50.0 DirectionRule_others static_synapse
106 cell_line=='i4Sst' cell_line=='e4Rorb' e2i.json 3.38812046881 1.5 90 DirectionRule_others static_synapse
107 cell_line=='e4Rorb' cell_line=='e4Rorb' e2e.json 5.1541323876 1.3 30.0 DirectionRule_EE static_synapse
108 cell_line=='e4Scnn1a' cell_line=='e4Rorb' e2e.json 13.6872664094 1.3 30.0 DirectionRule_EE static_synapse
109 cell_line=='i4Htr3a' cell_line=='e4Rorb' e2i.json 1.02793377359 1.5 90 DirectionRule_others static_synapse
110 cell_line=='e4other' cell_line=='e4Rorb' e2e.json 5.443507595780001 1.3 30.0 DirectionRule_EE static_synapse
111 cell_line=='i4Pvalb' cell_line=='e4Rorb' e2i.json 5.23808267141 1.2 90 DirectionRule_others static_synapse
112 cell_line=='i4Sst' cell_line=='e4Scnn1a' e2i.json 3.38812046881 1.5 90 DirectionRule_others static_synapse
113 cell_line=='e4Rorb' cell_line=='e4Scnn1a' e2e.json 5.1541323876 1.3 30.0 DirectionRule_EE static_synapse
114 cell_line=='e4Scnn1a' cell_line=='e4Scnn1a' e2e.json 13.6872664094 1.3 30.0 DirectionRule_EE static_synapse
115 cell_line=='i4Htr3a' cell_line=='e4Scnn1a' e2i.json 1.02793377359 1.5 90 DirectionRule_others static_synapse
116 cell_line=='e4other' cell_line=='e4Scnn1a' e2e.json 5.443507595780001 1.3 30.0 DirectionRule_EE static_synapse
117 cell_line=='i4Pvalb' cell_line=='e4Scnn1a' e2i.json 5.23808267141 1.2 90 DirectionRule_others static_synapse
118 cell_line=='i4Sst' cell_line=='i4Htr3a' i2i.json -1.17289903991 1.5 50.0 DirectionRule_others static_synapse
119 cell_line=='e4Rorb' cell_line=='i4Htr3a' i2e.json -0.2589445203 1.5 90 DirectionRule_others static_synapse
120 cell_line=='e4Scnn1a' cell_line=='i4Htr3a' i2e.json -0.68765067873 1.5 90 DirectionRule_others static_synapse
121 cell_line=='i4Htr3a' cell_line=='i4Htr3a' i2i.json -0.411451517215 1.5 50.0 DirectionRule_others static_synapse
122 cell_line=='e4other' cell_line=='i4Htr3a' i2e.json -0.273482781802 1.5 90 DirectionRule_others static_synapse
123 cell_line=='i4Pvalb' cell_line=='i4Htr3a' i2i.json -0.403252555297 1.5 50.0 DirectionRule_others static_synapse
124 cell_line=='i4Sst' cell_line=='e4other' e2i.json 3.38812046881 1.5 90 DirectionRule_others static_synapse
125 cell_line=='e4Rorb' cell_line=='e4other' e2e.json 5.1541323876 1.3 30.0 DirectionRule_EE static_synapse
126 cell_line=='e4Scnn1a' cell_line=='e4other' e2e.json 13.6872664094 1.3 30.0 DirectionRule_EE static_synapse
127 cell_line=='i4Htr3a' cell_line=='e4other' e2i.json 1.02793377359 1.5 90 DirectionRule_others static_synapse
128 cell_line=='e4other' cell_line=='e4other' e2e.json 5.443507595780001 1.3 30.0 DirectionRule_EE static_synapse
129 cell_line=='i4Pvalb' cell_line=='e4other' e2i.json 5.23808267141 1.2 90 DirectionRule_others static_synapse
130 cell_line=='i4Sst' cell_line=='i4Pvalb' i2i.json -1.53942998989 1.2 50.0 DirectionRule_others static_synapse
131 cell_line=='e4Rorb' cell_line=='i4Pvalb' i2e.json -0.57146376894 0.9 90 DirectionRule_others static_synapse
132 cell_line=='e4Scnn1a' cell_line=='i4Pvalb' i2e.json -1.51757391167 0.9 90 DirectionRule_others static_synapse
133 cell_line=='i4Htr3a' cell_line=='i4Pvalb' i2i.json -0.45593276232 1.2 50.0 DirectionRule_others static_synapse
134 cell_line=='e4other' cell_line=='i4Pvalb' i2e.json -0.603548208115 0.9 90 DirectionRule_others static_synapse
135 cell_line=='i4Pvalb' cell_line=='i4Pvalb' i2i.json -1.5233985422299998 1.6 50.0 DirectionRule_others static_synapse
