edge_type_id target_query source_query dynamics_params syn_weight model_template delay
100 cell_line=='e5Rbp4' * e2e.json 0.192834123607 static_synapse 1.0
101 cell_line=='e23Cux2' * e2e.json 0.209297861215 static_synapse 1.0
102 cell_line=='e4Scnn1a' * e2e.json 6.1385101933500006e-12 static_synapse 1.0
103 cell_line=='i6Htr3a' * e2i.json 0.2193724236059999 static_synapse 1.0
104 cell_line=='e4other' * e2e.json 7.7704582185800025e-19 static_synapse 1.0
105 cell_line=='i4Sst' * e2i.json 0.304771075832 static_synapse 1.0
106 cell_line=='e4Nr5a1' * e2e.json 3.0315397032600004e-15 static_synapse 1.0
107 cell_line=='i5Sst' * e2i.json 0.219652260516 static_synapse 1.0
108 cell_line=='i4Pvalb' * e2i.json 9.35141262407e-27 static_synapse 1.0
109 cell_line=='i6Sst' * e2i.json 0.315562589751 static_synapse 1.0
110 cell_line=='i6Pvalb' * e2i.json 2.39334308765e-21 static_synapse 1.0
111 cell_line=='i23Pvalb' * e2i.json 0.206360632416 static_synapse 1.0
112 cell_line=='i23Htr3a' * e2i.json 0.308672915966 static_synapse 1.0
113 cell_line=='e4Rorb' * e2e.json 5.4542495463299995e-09 static_synapse 1.0
114 cell_line=='i5Htr3a' * e2i.json 0.00164189585339 static_synapse 1.0
115 cell_line=='i5Pvalb' * e2i.json 3.2695254225500005e-19 static_synapse 1.0
116 cell_line=='i23Sst' * e2i.json 0.483280828545 static_synapse 1.0
117 cell_line=='i4Htr3a' * e2i.json 0.132210700577 static_synapse 1.0
118 cell_line=='e6Ntsr1' * e2e.json 0.436803582171 static_synapse 1.0
119 cell_line=='i1Htr3a' * e2i.json 0.6683522715720001 static_synapse 1.0
120 cell_line=='e5noRbp4' * e2e.json 0.138316896552 static_synapse 1.0
