node_type_id model_type rotation_angle_xaxis model_processing morphology model_name model_template dynamics_params ei layer
100 biophysical NULL aibs_perisomatic Scnn1a_485510712_morphology.swc Scnn1a ctdb:Biophys1.hoc Scnn1a_485510712_params.json e L4
101 biophysical 0 aibs_perisomatic Rorb_486509958_morphology.swc Rorb ctdb:Biophys1.hoc Rorb_486509958_params.json e L4
102 biophysical 0 aibs_perisomatic Nr5a1_485507735_morphology.swc Nr5a1 ctdb:Biophys1.hoc Nr5a1_485507735_params.json e L4
103 biophysical NULL aibs_perisomatic Pvalb_473862421_morphology.swc Pvalb ctdb:Biophys1.hoc Pvalb_473862421_params.json i L4
