edge_type_id target_model_id target_label source_label weight_max weight_func weight_sigma delay params_file
0 469793303 e5noRbp4 e5Rbp4 9.03544735544 DirectionRule_EE 30.0 1.5 e2e.json
1 469793303 e5noRbp4 e23Cux2 8.10452247641 DirectionRule_EE 30.0 1.8 e2e.json
2 469793303 e5noRbp4 i6Pvalb -0.0765355540695 DirectionRule_others 90.0 0.9 i2e.json
3 469793303 e5noRbp4 e4Scnn1a 17.249490405899998 DirectionRule_EE 30.0 1.5 e2e.json
4 469793303 e5noRbp4 i23Pvalb -0.188976676715 DirectionRule_others 90.0 0.9 i2e.json
5 469793303 e5noRbp4 i6Htr3a -0.264567347401 DirectionRule_others 90.0 1.5 i2e.json
6 469793303 e5noRbp4 i5Htr3a -0.264567347401 DirectionRule_others 90.0 1.5 i2e.json
7 469793303 e5noRbp4 i23Htr3a -0.0 DirectionRule_others 90.0 1.5 i2e.json
8 469793303 e5noRbp4 e4Rorb 17.249490405899998 DirectionRule_EE 30.0 1.5 e2e.json
9 469793303 e5noRbp4 e4other 17.249490405899998 DirectionRule_EE 30.0 1.5 e2e.json
10 469793303 e5noRbp4 i5Pvalb -0.765355540695 DirectionRule_others 90.0 0.9 i2e.json
11 469793303 e5noRbp4 i4Pvalb -0.68976487001 DirectionRule_others 90.0 0.9 i2e.json
12 469793303 e5noRbp4 i23Sst -0.207874344386 DirectionRule_others 90.0 1.5 i2e.json
13 469793303 e5noRbp4 i4Htr3a -0.0 DirectionRule_others 90.0 1.5 i2e.json
14 469793303 e5noRbp4 i4Sst -0.264567347401 DirectionRule_others 90.0 1.5 i2e.json
15 469793303 e5noRbp4 e4Nr5a1 17.249490405899998 DirectionRule_EE 30.0 1.5 e2e.json
16 469793303 e5noRbp4 i1Htr3a -0.396851021102 DirectionRule_others 90.0 3.8 i2e.json
17 469793303 e5noRbp4 i5Sst -0.255118513566 DirectionRule_others 90.0 1.5 i2e.json
18 469793303 e5noRbp4 e5noRbp4 9.03544735544 DirectionRule_EE 30.0 1.5 e2e.json
19 469793303 e5noRbp4 i6Sst -0.255118513566 DirectionRule_others 90.0 1.5 i2e.json
20 469793303 e5noRbp4 e6Ntsr1 2.51897320212 DirectionRule_EE 30.0 3.5 e2e.json
21 486052980 e5Rbp4 e5Rbp4 21.089287164 DirectionRule_EE 30.0 1.5 e2e.json
22 486052980 e5Rbp4 e23Cux2 18.9164515168 DirectionRule_EE 30.0 1.8 e2e.json
23 486052980 e5Rbp4 i6Pvalb -0.178638667743 DirectionRule_others 90.0 0.9 i2e.json
24 486052980 e5Rbp4 e4Scnn1a 40.261366404 DirectionRule_EE 30.0 1.5 e2e.json
25 486052980 e5Rbp4 i23Pvalb -0.441083130228 DirectionRule_others 90.0 0.9 i2e.json
26 486052980 e5Rbp4 i6Htr3a -0.6175163823200001 DirectionRule_others 90.0 1.5 i2e.json
27 486052980 e5Rbp4 i5Htr3a -0.6175163823200001 DirectionRule_others 90.0 1.5 i2e.json
28 486052980 e5Rbp4 i23Htr3a -0.0 DirectionRule_others 90.0 1.5 i2e.json
29 486052980 e5Rbp4 e4Rorb 40.261366404 DirectionRule_EE 30.0 1.5 e2e.json
30 486052980 e5Rbp4 e4other 40.261366404 DirectionRule_EE 30.0 1.5 e2e.json
31 486052980 e5Rbp4 i5Pvalb -1.78638667742 DirectionRule_others 90.0 0.9 i2e.json
32 486052980 e5Rbp4 i4Pvalb -1.60995342534 DirectionRule_others 90.0 0.9 i2e.json
33 486052980 e5Rbp4 i23Sst -0.485191443251 DirectionRule_others 90.0 1.5 i2e.json
34 486052980 e5Rbp4 i4Htr3a -0.0 DirectionRule_others 90.0 1.5 i2e.json
35 486052980 e5Rbp4 i4Sst -0.6175163823200001 DirectionRule_others 90.0 1.5 i2e.json
36 486052980 e5Rbp4 e4Nr5a1 40.261366404 DirectionRule_EE 30.0 1.5 e2e.json
37 486052980 e5Rbp4 i1Htr3a -0.92627457348 DirectionRule_others 90.0 3.8 i2e.json
38 486052980 e5Rbp4 i5Sst -0.59546222581 DirectionRule_others 90.0 1.5 i2e.json
39 486052980 e5Rbp4 e5noRbp4 21.089287164 DirectionRule_EE 30.0 1.5 e2e.json
40 486052980 e5Rbp4 i6Sst -0.59546222581 DirectionRule_others 90.0 1.5 i2e.json
41 486052980 e5Rbp4 e6Ntsr1 5.879437633609999 DirectionRule_EE 30.0 3.5 e2e.json
42 480952106 i5Pvalb e5Rbp4 2.60214502431 DirectionRule_others 90.0 1.2 e2i.json
43 480952106 i5Pvalb e23Cux2 2.86235952674 DirectionRule_others 90.0 1.2 e2i.json
44 480952106 i5Pvalb i6Pvalb -1.42370233514 DirectionRule_others 50.0 1.6 i2i.json
45 480952106 i5Pvalb e4Scnn1a 2.71056773366 DirectionRule_others 90.0 1.2 e2i.json
46 480952106 i5Pvalb i23Pvalb -0.945146928368 DirectionRule_others 50.0 1.6 i2i.json
47 480952106 i5Pvalb i6Htr3a -0.215349933046 DirectionRule_others 50.0 1.5 i2i.json
48 480952106 i5Pvalb i5Htr3a -0.215349933046 DirectionRule_others 50.0 1.5 i2i.json
49 480952106 i5Pvalb i23Htr3a -0.0 DirectionRule_others 50.0 1.5 i2i.json
50 480952106 i5Pvalb e4Rorb 2.71056773366 DirectionRule_others 90.0 1.2 e2i.json
51 480952106 i5Pvalb e4other 2.71056773366 DirectionRule_others 90.0 1.2 e2i.json
52 480952106 i5Pvalb i5Pvalb -1.42370233514 DirectionRule_others 50.0 1.6 i2i.json
53 480952106 i5Pvalb i4Pvalb -1.12460520591 DirectionRule_others 50.0 1.6 i2i.json
54 480952106 i5Pvalb i23Sst -0.0 DirectionRule_others 50.0 1.5 i2i.json
55 480952106 i5Pvalb i4Htr3a -0.215349933046 DirectionRule_others 50.0 1.5 i2i.json
56 480952106 i5Pvalb i4Sst -0.538374832616 DirectionRule_others 50.0 1.5 i2i.json
57 480952106 i5Pvalb e4Nr5a1 2.71056773366 DirectionRule_others 90.0 1.2 e2i.json
58 480952106 i5Pvalb i1Htr3a -0.0 DirectionRule_others 50.0 3.8 i2i.json
59 480952106 i5Pvalb i5Sst -0.47855540677 DirectionRule_others 50.0 1.5 i2i.json
60 480952106 i5Pvalb e5noRbp4 2.60214502431 DirectionRule_others 90.0 1.2 e2i.json
61 480952106 i5Pvalb i6Sst -0.47855540677 DirectionRule_others 50.0 1.5 i2i.json
62 480952106 i5Pvalb e6Ntsr1 5.421135467309999 DirectionRule_others 90.0 1.2 e2i.json
63 518290966 e4Scnn1a e5Rbp4 9.47767432714 DirectionRule_EE 30.0 2.5 e2e.json
64 518290966 e4Scnn1a e23Cux2 8.48002439798 DirectionRule_EE 30.0 1.6 e2e.json
65 518290966 e4Scnn1a i6Pvalb -0.174295311156 DirectionRule_others 90.0 0.9 i2e.json
66 518290966 e4Scnn1a e4Scnn1a 12.4207416182 DirectionRule_EE 30.0 1.3 e2e.json
67 518290966 e4Scnn1a i23Pvalb -1.20500462033 DirectionRule_others 90.0 0.9 i2e.json
68 518290966 e4Scnn1a i6Htr3a -0.0 DirectionRule_others 90.0 1.5 i2e.json
69 518290966 e4Scnn1a i5Htr3a -0.624020249815 DirectionRule_others 90.0 1.5 i2e.json
70 518290966 e4Scnn1a i23Htr3a -0.624020249815 DirectionRule_others 90.0 1.5 i2e.json
71 518290966 e4Scnn1a e4Rorb 12.4207416182 DirectionRule_EE 30.0 1.3 e2e.json
72 518290966 e4Scnn1a e4other 12.4207416182 DirectionRule_EE 30.0 1.3 e2e.json
73 518290966 e4Scnn1a i5Pvalb -0.0 DirectionRule_others 90.0 0.9 i2e.json
74 518290966 e4Scnn1a i4Pvalb -1.37714813753 DirectionRule_others 90.0 0.9 i2e.json
75 518290966 e4Scnn1a i23Sst -0.6455381894650001 DirectionRule_others 90.0 1.5 i2e.json
76 518290966 e4Scnn1a i4Htr3a -0.624020249815 DirectionRule_others 90.0 1.5 i2e.json
77 518290966 e4Scnn1a i4Sst -0.624020249815 DirectionRule_others 90.0 1.5 i2e.json
78 518290966 e4Scnn1a e4Nr5a1 12.4207416182 DirectionRule_EE 30.0 1.3 e2e.json
79 518290966 e4Scnn1a i1Htr3a -0.90375346525 DirectionRule_others 90.0 3.8 i2e.json
80 518290966 e4Scnn1a i5Sst -0.602502310165 DirectionRule_others 90.0 1.5 i2e.json
81 518290966 e4Scnn1a e5noRbp4 9.47767432714 DirectionRule_EE 30.0 2.5 e2e.json
82 518290966 e4Scnn1a i6Sst -0.0 DirectionRule_others 90.0 1.5 i2e.json
83 518290966 e4Scnn1a e6Ntsr1 0.0 DirectionRule_EE 30.0 0.0 e2e.json
84 318556138 i5Pvalb e5Rbp4 3.223915754 DirectionRule_others 90.0 1.2 e2i.json
85 318556138 i5Pvalb e23Cux2 3.5463073294 DirectionRule_others 90.0 1.2 e2i.json
86 318556138 i5Pvalb i6Pvalb -1.7638895389700002 DirectionRule_others 50.0 1.6 i2i.json
87 318556138 i5Pvalb e4Scnn1a 3.35824557708 DirectionRule_others 90.0 1.2 e2i.json
88 318556138 i5Pvalb i23Pvalb -1.17098549226 DirectionRule_others 50.0 1.6 i2i.json
89 318556138 i5Pvalb i6Htr3a -0.266806821021 DirectionRule_others 50.0 1.5 i2i.json
