target_model_name target_type source_type weight_max delay
Sst_501282204 i4Sst e4Scnn1a 3.38812046881 1.5
Sst_501282204 i4Sst e4Rorb 3.38812046881 1.5
Sst_501282204 i4Sst e4other 3.38812046881 1.5
Sst_501282204 i4Sst e4Nr5a1 3.38812046881 1.5
Sst_501282204 i4Sst i4Pvalb -1.53942998989 1.2
Sst_501282204 i4Sst i4Htr3a -1.17289903991 1.5
Sst_501282204 i4Sst i4Sst -0.5497964249580001 1.5
Rorb_314642645 e4Rorb e4Scnn1a 5.1541323876 1.3
Rorb_314642645 e4Rorb e4Rorb 5.1541323876 1.3
Rorb_314642645 e4Rorb e4other 5.1541323876 1.3
Rorb_314642645 e4Rorb i4Pvalb -0.57146376894 0.9
Rorb_314642645 e4Rorb i4Htr3a -0.2589445203 1.5
Rorb_314642645 e4Rorb i4Sst -0.2589445203 1.5
Rorb_314642645 e4Rorb e4Nr5a1 5.1541323876 1.3
Scnn1a_517982558 e4Scnn1a e4Scnn1a 13.6872664094 1.3
Scnn1a_517982558 e4Scnn1a e4Rorb 13.6872664094 1.3
Scnn1a_517982558 e4Scnn1a e4other 13.6872664094 1.3
Scnn1a_517982558 e4Scnn1a i4Pvalb -1.51757391167 0.9
Scnn1a_517982558 e4Scnn1a i4Htr3a -0.68765067873 1.5
Scnn1a_517982558 e4Scnn1a i4Sst -0.68765067873 1.5
Scnn1a_517982558 e4Scnn1a e4Nr5a1 13.6872664094 1.3
Htr3a_474626527 i4Htr3a e4Scnn1a 1.02793377359 1.5
Htr3a_474626527 i4Htr3a e4Rorb 1.02793377359 1.5
Htr3a_474626527 i4Htr3a e4other 1.02793377359 1.5
Htr3a_474626527 i4Htr3a e4Nr5a1 1.02793377359 1.5
Htr3a_474626527 i4Htr3a i4Pvalb -0.45593276232 1.2
Htr3a_474626527 i4Htr3a i4Htr3a -0.411451517215 1.5
Htr3a_474626527 i4Htr3a i4Sst -0.578256186357 1.5
other_483018019 e4other e4Scnn1a 5.443507595780001 1.3
other_483018019 e4other e4Rorb 5.443507595780001 1.3
other_483018019 e4other e4other 5.443507595780001 1.3
other_483018019 e4other e4Nr5a1 5.443507595780001 1.3
other_483018019 e4other i4Pvalb -0.603548208115 0.9
other_483018019 e4other i4Htr3a -0.273482781802 1.5
other_483018019 e4other i4Sst -0.273482781802 1.5
Pvalb_478958894 i4Pvalb e4Scnn1a 5.23808267141 1.2
Pvalb_478958894 i4Pvalb e4Rorb 5.23808267141 1.2
Pvalb_478958894 i4Pvalb e4other 5.23808267141 1.2
Pvalb_478958894 i4Pvalb e4Nr5a1 5.23808267141 1.2
Pvalb_478958894 i4Pvalb i4Pvalb -1.5233985422299998 1.6
Pvalb_478958894 i4Pvalb i4Htr3a -0.403252555297 1.5
Pvalb_478958894 i4Pvalb i4Sst -1.12014598694 1.5
Nr5a1_22738880 e4Nr5a1 e4Scnn1a 6.26431028253 1.3
Nr5a1_422738880 e4Nr5a1 e4Rorb 6.26431028253 1.3
Nr5a1_422738880 e4Nr5a1 e4other 6.26431028253 1.3
Nr5a1_422738880 e4Nr5a1 e4Nr5a1 6.26431028253 1.3
Nr5a1_422738880 e4Nr5a1 i4Pvalb -0.6945546009800001 0.9
Nr5a1_422738880 e4Nr5a1 i4Htr3a -0.314720053569 1.5
Nr5a1_422738880 e4Nr5a1 i4Sst -0.314720053569 1.5
