ecephys_unit_id,waveform_type
950911880,FS
950911873,Other
950911932,RS
950911986,RS
950912018,RS
950912065,FS
950912109,RS
950912226,RS
950912214,RS
950912190,RS
950912164,RS
950912249,RS
950912283,RS
950912293,RS
950912361,RS
950912326,RS
950912396,RS
950912384,RS
950912448,RS
950912427,RS
950912417,RS
950912406,RS
950912473,RS
950912460,RS
950913096,RS
950912511,RS
950913000,RS
950913031,RS
950912646,RS
950912601,FS
950918280,RS
950918261,Other
950918246,RS
950918191,RS
950918175,RS
950918344,RS
950918310,Other
950918381,RS
950918362,RS
950918294,RS
950918422,RS
950918491,RS
950918695,RS
950918802,FS
950918570,RS
950918745,RS
950918846,RS
950918902,RS
950918821,RS
950918936,FS
950918919,RS
950918955,RS
950919054,RS
950919040,RS
950919022,RS
950919104,RS
950919086,RS
950919249,RS
950919212,RS
950919154,RS
950919120,RS
950919387,RS
950919283,RS
950919496,RS
950919456,RS
950919748,RS
950919676,FS
950919993,RS
950919806,RS
950919945,FS
950919921,RS
950919900,RS
950919863,RS
950920151,RS
950920092,RS
950920017,RS
950921442,RS
950920309,FS
950920290,FS
950920434,RS
950930145,Other
950930105,FS
950930276,RS
950933698,RS
950930237,RS
950930215,RS
950930358,RS
950930340,RS
950930437,RS
950930423,RS
950930407,FS
950930392,RS
950930375,RS
950930522,RS
950930454,RS
950933732,RS
950930866,RS
950930795,FS
950930888,RS
950931118,RS
950931004,RS
950930985,FS
950934181,RS
950930964,FS
950931043,FS
950931236,RS
950931181,RS
950931164,RS
950931272,RS
950931254,FS
950931423,FS
950931363,FS
950933840,FS
950931458,RS
950931315,FS
950931565,RS
950931533,RS
950931517,RS
950931656,RS
950931805,RS
950931617,FS
950931581,RS
950931770,RS
950931751,RS
950931727,RS
950931853,FS
950931959,RS
950931899,RS
950931878,RS
950933890,RS
950932102,FS
950932087,FS
950933907,RS
950932032,RS
950933924,RS
950932445,FS
950932578,RS
950932563,FS
950932696,RS
950933960,RS
950939257,FS
950939347,RS
950942974,RS
950939479,RS
950939523,RS
950939509,FS
950939678,FS
950939641,RS
950942129,FS
950940157,FS
950940001,RS
950939945,RS
950940104,FS
950940121,RS
950940040,RS
950940023,RS
950940237,RS
950940219,RS
950942155,RS
950940200,RS
950940185,RS
950940171,RS
950942199,RS
950940311,RS
950940453,RS
950940437,RS
950940389,RS
950940467,RS
950940649,RS
950940545,RS
950940526,RS
950940507,RS
950940615,FS
950942252,RS
950942235,RS
950940631,RS
950940688,RS
950940671,RS
950940718,RS
950942304,RS
950940928,RS
950940859,RS
950950919,FS
950951153,RS
950953187,RS
950951364,FS
950951511,RS
950951525,RS
950951613,RS
950951636,RS
950951577,RS
950951702,FS
950951678,RS
950951791,RS
950951829,RS
950951851,RS
950951840,RS
950951902,RS
950951891,RS
950951879,FS
950951979,RS
950951950,RS
950951940,RS
950953293,RS
950952002,RS
950952213,RS
950952312,Other
950952256,FS
950952386,RS
950953417,RS
950952336,RS
950952241,RS
950955414,FS
950955543,Other
950955784,FS
950957270,RS
950955844,FS
950955833,RS
950955897,RS
950955974,RS
950955965,RS
950955951,RS
950956019,RS
950956100,RS
950956043,RS
950956030,RS
950956399,Other
950956205,RS
950956148,RS
950956297,RS
950956259,RS
950957282,FS
950956336,RS
950957295,RS
950956413,RS
950956386,RS
950956435,RS
950957320,RS
950956563,RS
950956541,RS
950956527,RS
950956504,RS
950956493,RS
950956630,RS
950956616,RS
950956604,RS
950956592,RS
950956680,RS
950956667,RS
950956514,RS
950956778,FS
950957408,RS
950956835,RS
950956911,RS
950956870,RS
950956845,FS
950956952,FS
950957053,RS
950919124,FS
950919109,FS
950919151,FS
950919164,RS
950919256,RS
950919295,RS
950919334,Other
950919309,RS
950919363,FS
950919392,RS
950919377,RS
950919419,FS
950919470,RS
950919498,RS
950919563,RS
950919551,RS
950919600,RS
950919662,RS
950919588,RS
950919575,RS
950919633,RS
950919717,RS
950919675,RS
950920596,RS
950919775,RS
950919763,FS
950919733,RS
950919873,RS
950919887,FS
950920608,RS
950919931,FS
950920877,RS
950920753,RS
950920150,FS
950920135,RS
950920192,FS
950920237,FS
950927365,Other
950927637,FS
950927665,RS
950927860,RS
950927918,RS
950927974,RS
950927933,RS
950927961,RS
950927948,RS
950927874,RS
950928063,RS
950928047,RS
950928109,RS
950928180,RS
950928141,RS
950928123,RS
950928239,RS
950928223,RS
950934506,Other
950934565,RS
950934544,RS
950934626,RS
950934614,RS
950934597,RS
950934762,FS
950934750,FS
950934798,RS
950934786,RS
950934824,FS
950934870,RS
950934912,RS
950934987,Other
950935081,RS
950935066,FS
950935168,RS
950935043,RS
950935027,RS
950935142,RS
950935118,RS
950935154,RS
950936618,RS
950935287,RS
950935276,RS
950936593,RS
950935264,RS
950935244,RS
950935376,RS
950935366,RS
950935354,RS
950936606,RS
950935320,RS
950935296,RS
950936633,RS
950935416,FS
950935440,RS
950935403,RS
950935552,FS
950935529,FS
950935480,RS
950935465,RS
950935587,FS
950935640,FS
950935615,FS
950935726,RS
950935766,RS
950935804,FS
950935840,RS
950936810,RS
950935909,FS
950935828,RS
950942807,RS
950942733,RS
950942833,RS
950942819,Other
950942758,RS
950942918,RS
950942906,RS
950942953,RS
950943024,RS
950943058,RS
950943111,RS
950943099,RS
950943213,RS
950943190,RS
950943168,RS
950943277,FS
950943269,RS
950943261,RS
950943201,RS
950943317,FS
950943296,RS
950943337,RS
950945531,Other
950943399,RS
950945543,FS
950943488,RS
950943576,RS
950943614,RS
950943604,RS
950943589,RS
950945593,RS
950945582,RS
950943685,RS
950943674,RS
950945605,RS
950943711,FS
950943698,RS
950943750,RS
950943766,RS
950944182,RS
950953191,RS
950953290,RS
950953582,Other
950953711,RS
950953822,RS
950953811,RS
950953883,RS
950953873,RS
950954946,RS
950957508,RS
950957662,RS
950957833,RS
950957773,RS
950957954,RS
950958022,FS
950958957,RS
950958029,RS
950958827,RS
950958817,RS
950907555,RS
950907350,RS
950907356,RS
950907360,RS
950907364,RS
950907362,FS
950907370,RS
950907368,RS
950907386,RS
950907392,RS
950907563,RS
950907561,RS
950907396,RS
950907402,RS
950907394,FS
950907398,FS
950907406,RS
950907565,RS
950907404,RS
950907388,RS
950907428,RS
950907408,FS
950907420,FS
950907434,RS
950907432,RS
950907425,RS
950907430,RS
950907443,RS
950907439,RS
950907437,RS
950907451,RS
950907445,RS
950907457,RS
950907463,RS
950907473,RS
950907471,RS
950907467,RS
950907493,FS
950907506,FS
950907798,RS
950907820,RS
950907818,RS
950907826,RS
950907832,RS
950907842,RS
950907828,RS
950907834,RS
950907855,RS
950907865,RS
950907861,RS
950907889,FS
950908035,RS
950907901,FS
950908001,RS
950907927,RS
950907925,RS
950907923,RS
950907921,RS
950907935,FS
950907949,FS
950907969,FS
950907967,RS
950907965,RS
950908795,RS
950908404,RS
950908410,FS
950908418,FS
950908416,RS
950908414,RS
950908420,Other
950908426,RS
950908424,FS
950908422,Other
950908442,RS
950908438,RS
950908432,RS
950908448,FS
950908446,RS
950908444,RS
950908452,RS
950908466,RS
950908460,RS
950908475,RS
950908802,RS
950908501,RS
950908496,FS
950908489,RS
950908479,RS
950908485,RS
950908482,RS
950908511,RS
950908507,RS
950908504,RS
950908525,RS
950908518,RS
950908547,FS
950908544,RS
950908583,FS
950908555,RS
950908551,RS
950908591,FS
950908621,FS
950908657,Other
950908653,RS
950909297,Other
950909294,Other
950909307,RS
950909331,RS
950909604,RS
950909345,RS
950909343,FS
950909351,FS
950909381,FS
950909387,RS
950909409,RS
950909407,RS
950909423,RS
950909435,RS
950909431,RS
950909429,RS
950909445,RS
950909443,FS
950909441,RS
950909439,RS
950909437,RS
950909447,RS
950909467,RS
950909469,RS
950909477,RS
950909494,RS
950909518,FS
950910245,RS
950910249,RS
950911068,RS
950910310,RS
950910320,FS
950910336,RS
950910393,RS
950910375,RS
950910412,RS
950910465,RS
950910456,RS
950910442,RS
950910487,RS
950910470,RS
950910522,RS
950910517,RS
950910513,RS
950910569,RS
950910541,RS
950910532,RS
950910527,RS
950910640,FS
950910617,RS
950910612,RS
950910602,RS
950910590,RS
950910586,RS
950910646,RS
950910660,RS
950910656,Other
950910688,RS
950910732,RS
950910784,FS
950910780,RS
950910802,RS
950910805,RS
950910856,RS
950912688,RS
950912680,RS
950912718,FS
950913689,FS
950912786,RS
950912775,RS
950912764,RS
950912816,RS
950912848,RS
950912835,RS
950912860,RS
950912938,FS
950912930,FS
950912921,RS
950912882,RS
950912946,RS
950913016,RS
950913008,FS
950912968,RS
950913700,RS
950913049,FS
950913115,FS
950913097,RS
950913087,RS
950913077,RS
950913133,RS
950913709,RS
950913232,RS
950913196,RS
950913177,RS
950913724,RS
950913168,FS
950913159,RS
950913151,RS
950913141,RS
950913290,RS
950913274,RS
950913267,RS
950913733,RS
950913248,RS
950913742,RS
950913321,RS
950913752,RS
950913393,RS
950913765,RS
950913839,RS
915957872,Other
915957896,RS
915957941,RS
915957936,RS
915958814,RS
915958808,RS
915957926,RS
915957921,RS
915957966,RS
915957962,RS
915957956,RS
915957951,RS
915957946,RS
915958010,Other
915958006,RS
915957982,RS
915958029,RS
915958015,FS
915958071,RS
915958067,FS
915958058,FS
915958052,RS
915958048,RS
915958083,RS
915958108,RS
915958104,RS
915958122,RS
915958151,FS
915958118,RS
915958819,RS
915958182,FS
915958177,RS
915958162,FS
915958157,RS
915958167,RS
915958147,RS
915958114,RS
915958188,RS
915958932,RS
915958824,RS
915958211,RS
915958207,RS
915958215,RS
915958830,RS
915958234,RS
915958230,RS
915958249,RS
915958273,RS
915958262,RS
915958257,RS
915958840,RS
915958317,RS
915958835,RS
915958937,RS
915958364,FS
915958359,RS
915958353,RS
915958856,FS
915958424,FS
915958456,FS
915958868,RS
915958879,RS
915958490,RS
915958875,RS
915958521,RS
915958534,RS
915960297,RS
915960294,RS
915960290,FS
915960287,FS
915960283,RS
915960275,RS
915960262,RS
915960317,RS
915960312,RS
915960300,RS
915960352,RS
915960341,RS
915960337,RS
915960330,RS
915961158,RS
915960359,RS
915960356,RS
915960382,RS
915960371,Other
915960366,RS
915960396,RS
915960392,RS
915961088,RS
915960413,RS
915960409,FS
915960399,RS
915960424,RS
915960406,RS
915960438,FS
915960460,FS
915960454,RS
915960467,RS
915960463,RS
915960491,RS
915960535,RS
915960530,RS
915960510,RS
915961096,RS
915960569,FS
915960566,RS
915960562,RS
915960553,FS
915960550,RS
915960581,RS
915960578,RS
915960575,RS
915960595,RS
915960592,RS
915960589,RS
915960586,RS
915961098,RS
915960618,RS
915960615,RS
915960612,FS
915960609,RS
915960606,RS
915960642,RS
915960634,RS
915960630,FS
915960627,RS
915960624,RS
915960665,FS
915961101,RS
915960700,RS
915960670,RS
915960656,RS
915960652,RS
915960693,RS
915960683,FS
915960678,RS
915960674,RS
915960732,FS
915960721,RS
915961104,RS
915960780,RS
915960770,RS
915960768,RS
915960765,RS
915960804,FS
915960812,RS
915960810,RS
915960835,RS
915960832,RS
915960825,RS
915961111,RS
915960857,RS
915960848,RS
915960802,Other
915960838,FS
915960859,RS
915960889,RS
915960886,RS
915960876,RS
915960897,RS
915960921,RS
915960914,RS
915960906,RS
915961123,RS
915960931,FS
915960923,RS
915960947,RS
915961119,RS
915960933,RS
915960962,RS
915961131,RS
915960975,RS
915960972,RS
915960968,RS
915960996,RS
915961134,RS
915963371,RS
915962634,RS
915962742,Other
915962737,RS
915962733,RS
915962725,FS
915962740,RS
915962720,RS
915962810,RS
915962819,RS
915962827,RS
915962825,RS
915962815,RS
915962843,RS
915962841,RS
915962838,RS
915962835,RS
915962847,RS
915962868,RS
915962863,RS
915962886,RS
915962880,RS
915962861,RS
915962926,RS
915962857,RS
915962943,RS
915962939,RS
