loss_type,epoch,step,parameter,loss_function,loss_value
step,3,3,default,__mean_rate,0.009192666970193386
step,3,3,default,firing_rate_regularizer,119.19066619873047
step,3,3,default,voltage_regularizer,10.033963203430176
step,3,3,,__total_loss,129.22462463378906
step,3,4,default,__mean_rate,0.008388333022594452
step,3,4,default,firing_rate_regularizer,123.12333679199219
step,3,4,default,voltage_regularizer,10.487533569335938
step,3,4,,__total_loss,133.61087036132812
step,3,5,default,__mean_rate,0.008045000024139881
step,3,5,default,firing_rate_regularizer,126.37933349609375
step,3,5,default,voltage_regularizer,9.998886108398438
step,3,5,,__total_loss,136.3782196044922
validation,3,0,default,__mean_rate,0.007532999850809574
validation,3,0,default,firing_rate_regularizer,127.04467010498047
validation,3,0,default,voltage_regularizer,9.859026908874512
validation,3,0,,__total_loss,136.90370178222656
step,4,1,default,__mean_rate,0.007982333190739155
step,4,1,default,firing_rate_regularizer,128.74200439453125
step,4,1,default,voltage_regularizer,10.17873764038086
step,4,1,,__total_loss,138.92074584960938
step,4,2,default,__mean_rate,0.00751133356243372
step,4,2,default,firing_rate_regularizer,132.482666015625
step,4,2,default,voltage_regularizer,9.73218822479248
step,4,2,,__total_loss,142.21485900878906
step,4,3,default,__mean_rate,0.007368999999016523
step,4,3,default,firing_rate_regularizer,130.97532653808594
step,4,3,default,voltage_regularizer,9.52780532836914
step,4,3,,__total_loss,140.5031280517578
step,4,4,default,__mean_rate,0.007473666686564684
step,4,4,default,firing_rate_regularizer,132.18466186523438
step,4,4,default,voltage_regularizer,9.766197204589844
step,4,4,,__total_loss,141.95086669921875
step,4,5,default,__mean_rate,0.007471333257853985
step,4,5,default,firing_rate_regularizer,134.92799377441406
step,4,5,default,voltage_regularizer,9.534709930419922
step,4,5,,__total_loss,144.46270751953125
validation,4,0,default,__mean_rate,0.007350000087171793
validation,4,0,default,firing_rate_regularizer,132.54400634765625
validation,4,0,default,voltage_regularizer,9.803468704223633
validation,4,0,,__total_loss,142.34747314453125
step,5,1,default,__mean_rate,0.007308333180844784
step,5,1,default,firing_rate_regularizer,132.46466064453125
step,5,1,default,voltage_regularizer,9.851059913635254
step,5,1,,__total_loss,142.3157196044922
step,5,2,default,__mean_rate,0.007031000219285488
step,5,2,default,firing_rate_regularizer,133.4739990234375
step,5,2,default,voltage_regularizer,9.529948234558105
step,5,2,,__total_loss,143.0039520263672
step,5,3,default,__mean_rate,0.006829999852925539
step,5,3,default,firing_rate_regularizer,136.21200561523438
step,5,3,default,voltage_regularizer,9.955098152160645
step,5,3,,__total_loss,146.16709899902344
step,5,4,default,__mean_rate,0.0070583331398665905
step,5,4,default,firing_rate_regularizer,133.6806640625
step,5,4,default,voltage_regularizer,9.76830768585205
step,5,4,,__total_loss,143.448974609375
step,5,5,default,__mean_rate,0.0069323331117630005
step,5,5,default,firing_rate_regularizer,131.5659942626953
step,5,5,default,voltage_regularizer,10.038192749023438
step,5,5,,__total_loss,141.60418701171875
validation,5,0,default,__mean_rate,0.006899000145494938
validation,5,0,default,firing_rate_regularizer,132.70599365234375
validation,5,0,default,voltage_regularizer,10.248205184936523
validation,5,0,,__total_loss,142.95419311523438
step,6,1,default,__mean_rate,0.006885333452373743
step,6,1,default,firing_rate_regularizer,130.00132751464844
step,6,1,default,voltage_regularizer,9.755941390991211
step,6,1,,__total_loss,139.75726318359375
step,6,2,default,__mean_rate,0.007107333280146122
step,6,2,default,firing_rate_regularizer,131.93333435058594
step,6,2,default,voltage_regularizer,10.306916236877441
step,6,2,,__total_loss,142.24024963378906
step,6,3,default,__mean_rate,0.006941999774426222
step,6,3,default,firing_rate_regularizer,131.6106719970703
step,6,3,default,voltage_regularizer,10.562104225158691
step,6,3,,__total_loss,142.1727752685547
step,6,4,default,__mean_rate,0.0070583331398665905
step,6,4,default,firing_rate_regularizer,131.697998046875
step,6,4,default,voltage_regularizer,10.246288299560547
step,6,4,,__total_loss,141.9442901611328
step,6,5,default,__mean_rate,0.0068073333241045475
step,6,5,default,firing_rate_regularizer,129.913330078125
step,6,5,default,voltage_regularizer,10.302986145019531
step,6,5,,__total_loss,140.21630859375
validation,6,0,default,__mean_rate,0.0069056665524840355
validation,6,0,default,firing_rate_regularizer,129.34866333007812
validation,6,0,default,voltage_regularizer,10.538352012634277
validation,6,0,,__total_loss,139.8870086669922
step,7,1,default,__mean_rate,0.007160666864365339
step,7,1,default,firing_rate_regularizer,127.41466522216797
step,7,1,default,voltage_regularizer,11.0347261428833
step,7,1,,__total_loss,138.4493865966797
step,7,2,default,__mean_rate,0.007067999802529812
step,7,2,default,firing_rate_regularizer,127.73332977294922
step,7,2,default,voltage_regularizer,10.652316093444824
step,7,2,,__total_loss,138.38565063476562
step,7,3,default,__mean_rate,0.007009999826550484
step,7,3,default,firing_rate_regularizer,128.48666381835938
step,7,3,default,voltage_regularizer,11.118462562561035
step,7,3,,__total_loss,139.60513305664062
step,7,4,default,__mean_rate,0.0071749999187886715
step,7,4,default,firing_rate_regularizer,126.3326644897461
step,7,4,default,voltage_regularizer,10.740436553955078
step,7,4,,__total_loss,137.07310485839844
step,7,5,default,__mean_rate,0.006981333252042532
step,7,5,default,firing_rate_regularizer,125.50933074951172
step,7,5,default,voltage_regularizer,11.03772258758545
step,7,5,,__total_loss,136.54705810546875
validation,7,0,default,__mean_rate,0.00710699986666441
validation,7,0,default,firing_rate_regularizer,124.72333526611328
validation,7,0,default,voltage_regularizer,11.268537521362305
validation,7,0,,__total_loss,135.9918670654297
step,8,1,default,__mean_rate,0.007096000015735626
step,8,1,default,firing_rate_regularizer,126.11333465576172
step,8,1,default,voltage_regularizer,11.10860824584961
step,8,1,,__total_loss,137.22193908691406
step,8,2,default,__mean_rate,0.0071229999884963036
step,8,2,default,firing_rate_regularizer,123.50066375732422
step,8,2,default,voltage_regularizer,11.17721176147461
step,8,2,,__total_loss,134.67787170410156
step,8,3,default,__mean_rate,0.007042999844998121
step,8,3,default,firing_rate_regularizer,122.32066345214844
step,8,3,default,voltage_regularizer,11.06361198425293
step,8,3,,__total_loss,133.38427734375
step,8,4,default,__mean_rate,0.006930666510015726
step,8,4,default,firing_rate_regularizer,119.98666381835938
step,8,4,default,voltage_regularizer,11.655326843261719
step,8,4,,__total_loss,131.64199829101562
step,8,5,default,__mean_rate,0.00712500000372529
step,8,5,default,firing_rate_regularizer,119.12733459472656
step,8,5,default,voltage_regularizer,11.433971405029297
step,8,5,,__total_loss,130.56130981445312
validation,8,0,default,__mean_rate,0.007083333563059568
validation,8,0,default,firing_rate_regularizer,118.02532958984375
validation,8,0,default,voltage_regularizer,11.630144119262695
validation,8,0,,__total_loss,129.6554718017578
step,9,1,default,__mean_rate,0.007241333369165659
step,9,1,default,firing_rate_regularizer,118.46932983398438
step,9,1,default,voltage_regularizer,11.57082748413086
step,9,1,,__total_loss,130.0401611328125
step,9,2,default,__mean_rate,0.007321000099182129
step,9,2,default,firing_rate_regularizer,120.35933685302734
step,9,2,default,voltage_regularizer,11.884979248046875
step,9,2,,__total_loss,132.24432373046875
step,9,3,default,__mean_rate,0.0072096665389835835
step,9,3,default,firing_rate_regularizer,116.6780014038086
step,9,3,default,voltage_regularizer,11.957525253295898
step,9,3,,__total_loss,128.63552856445312
step,9,4,default,__mean_rate,0.007455666549503803
step,9,4,default,firing_rate_regularizer,116.22733306884766
step,9,4,default,voltage_regularizer,12.494152069091797
step,9,4,,__total_loss,128.7214813232422
step,9,5,default,__mean_rate,0.007305333390831947
step,9,5,default,firing_rate_regularizer,114.63733673095703
step,9,5,default,voltage_regularizer,12.166153907775879
step,9,5,,__total_loss,126.8034896850586
validation,9,0,default,__mean_rate,0.007265999913215637
validation,9,0,default,firing_rate_regularizer,113.51599884033203
validation,9,0,default,voltage_regularizer,11.984457969665527
validation,9,0,,__total_loss,125.50045776367188
step,10,1,default,__mean_rate,0.0073633333668112755
step,10,1,default,firing_rate_regularizer,115.56800079345703
step,10,1,default,voltage_regularizer,11.739192008972168
step,10,1,,__total_loss,127.30718994140625
step,10,2,default,__mean_rate,0.007309333421289921
step,10,2,default,firing_rate_regularizer,111.37200164794922
step,10,2,default,voltage_regularizer,12.064537048339844
step,10,2,,__total_loss,123.43653869628906
step,10,3,default,__mean_rate,0.007807333488017321
step,10,3,default,firing_rate_regularizer,112.82533264160156
step,10,3,default,voltage_regularizer,12.417430877685547
step,10,3,,__total_loss,125.24276733398438
step,10,4,default,__mean_rate,0.007555666845291853
step,10,4,default,firing_rate_regularizer,110.65666961669922
step,10,4,default,voltage_regularizer,12.196353912353516
step,10,4,,__total_loss,122.85302734375
step,10,5,default,__mean_rate,0.007568333297967911
step,10,5,default,firing_rate_regularizer,109.85399627685547
step,10,5,default,voltage_regularizer,12.235733985900879
step,10,5,,__total_loss,122.08972930908203
validation,10,0,default,__mean_rate,0.007518666796386242
validation,10,0,default,firing_rate_regularizer,108.3239974975586
validation,10,0,default,voltage_regularizer,12.428572654724121
validation,10,0,,__total_loss,120.75257110595703
