loss_type,epoch,step,parameter,loss_function,loss_value
step,1,1,default,__mean_rate,0.2098783403635025
step,1,1,default,firing_rate_regularizer,41320.171875
step,1,1,default,voltage_regularizer,976.7938842773438
step,1,1,,__total_loss,42296.96484375
step,1,2,default,__mean_rate,0.2075510025024414
step,1,2,default,firing_rate_regularizer,40359.6875
step,1,2,default,voltage_regularizer,335.131591796875
step,1,2,,__total_loss,40694.8203125
step,1,3,default,__mean_rate,0.2052856683731079
step,1,3,default,firing_rate_regularizer,39575.05078125
step,1,3,default,voltage_regularizer,68.55782318115234
step,1,3,,__total_loss,39643.609375
step,1,4,default,__mean_rate,0.1980530023574829
step,1,4,default,firing_rate_regularizer,37461.9609375
step,1,4,default,voltage_regularizer,17.752973556518555
step,1,4,,__total_loss,37479.71484375
step,1,5,default,__mean_rate,0.06456266343593597
step,1,5,default,firing_rate_regularizer,3209.6494140625
step,1,5,default,voltage_regularizer,10.90285587310791
step,1,5,,__total_loss,3220.55224609375
validation,1,0,default,__mean_rate,0.027788333594799042
validation,1,0,default,firing_rate_regularizer,369.1940002441406
validation,1,0,default,voltage_regularizer,10.185646057128906
validation,1,0,,__total_loss,379.379638671875
step,2,1,default,__mean_rate,0.02987133339047432
step,2,1,default,firing_rate_regularizer,451.4186706542969
step,2,1,default,voltage_regularizer,9.95796012878418
step,2,1,,__total_loss,461.3766174316406
step,2,2,default,__mean_rate,0.021751999855041504
step,2,2,default,firing_rate_regularizer,201.72666931152344
step,2,2,default,voltage_regularizer,14.984965324401855
step,2,2,,__total_loss,216.71163940429688
step,2,3,default,__mean_rate,0.016776666045188904
step,2,3,default,firing_rate_regularizer,131.1199951171875
step,2,3,default,voltage_regularizer,16.233644485473633
step,2,3,,__total_loss,147.3536376953125
step,2,4,default,__mean_rate,0.013811999931931496
step,2,4,default,firing_rate_regularizer,109.12799835205078
step,2,4,default,voltage_regularizer,14.259836196899414
step,2,4,,__total_loss,123.38783264160156
step,2,5,default,__mean_rate,0.012575999833643436
step,2,5,default,firing_rate_regularizer,110.16666412353516
step,2,5,default,voltage_regularizer,13.65728759765625
step,2,5,,__total_loss,123.8239517211914
validation,2,0,default,__mean_rate,0.010668667033314705
validation,2,0,default,firing_rate_regularizer,110.52666473388672
validation,2,0,default,voltage_regularizer,11.554637908935547
validation,2,0,,__total_loss,122.081298828125
step,3,1,default,__mean_rate,0.011072666384279728
step,3,1,default,firing_rate_regularizer,112.32533264160156
step,3,1,default,voltage_regularizer,12.567388534545898
step,3,1,,__total_loss,124.8927230834961
step,3,2,default,__mean_rate,0.010294333100318909
step,3,2,default,firing_rate_regularizer,116.28600311279297
step,3,2,default,voltage_regularizer,11.669384956359863
step,3,2,,__total_loss,127.95539093017578
